Part ID;Account ID;Balance;Credit limit
1;0;4046475248.06;2535978652.31
1;1;4039153082;0
1;2;7052684042;0
1;3;6354566486;0
1;4;699027571;0
1;5;8956411087;0
1;6;4775539749;0
1;7;1220533416;0
1;8;8380489510;0
2;0;3157320624.34;2318568371.37
2;1;799145173;0
2;2;2347477057;0
2;3;6879260928;0
2;4;2884375434;0
2;5;9258242454;0
2;6;5436991643;0
2;7;9628167688;0
2;8;4134831958;0
3;0;3412024024.7;1936786463.16
3;1;3543817173;0
3;2;5912060317;0
3;3;6046784033;0
3;4;9783485389;0
3;5;2258333699;0
3;6;7161110839;0
3;7;5182778414;0
3;8;9747705959;0
4;0;3483502661.99;2525970242.55
4;1;3134559776;0
4;2;3281205352;0
4;3;7583194147;0
4;4;8989901725;0
4;5;1848528205;0
4;6;8884369328;0
4;7;5771747395;0
4;8;1469545812;0
5;0;4386839325.35;4003653376.26
5;1;2763963122;0
5;2;9888792648;0
5;3;510652938;0
5;4;2585695602;0
5;5;5224109311;0
5;6;8361639897;0
5;7;9810364464;0
5;8;4220415259;0
6;0;2562047408.12;852292620.73
6;1;3144858619;0
6;2;3441713186;0
6;3;8774619864;0
6;4;4945603989;0
6;5;4827454077;0
6;6;2856832129;0
6;7;2987970141;0
6;8;6920705684;0
7;0;2256157456.14;921644286.65
7;1;69105094;0
7;2;2032553807;0
7;3;1510033404;0
7;4;8509221167;0
7;5;2838384111;0
7;6;3707708906;0
7;7;6247531142;0
7;8;6241086404;0
8;0;1054789317.31;1022863899.79
8;1;1928531751;0
8;2;779818344;0
8;3;4538735694;0
8;4;4332543464;0
8;5;3871380141;0
8;6;7639745933;0
8;7;5508082108;0
8;8;6533884540;0
